#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
721248	253725	28952	128984	118780	RP11-175I17.5	JM1	FAM21C	CCDC22	FAM21A|VPEF	CXorf37	Affinity Capture-Western	physical	Harbour ME (2012)	PUBMED:22070227	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y4E1	A8K5W5|B3KMC4	NP_001354338|NP_001354339|NP_001354330|NP_001354331|NP_001354332|NP_001354333|NP_001354334|NP_001354335|NP_001354336|NP_001354337|NP_001317003|NP_056077|NP_001354341|NP_001354345|NP_001354322|NP_001354329|NP_001354328|NP_001354340|NP_001354323|NP_001354344|NP_001354327|NP_001354326|NP_001354325|NP_001354324|NP_001354343|NP_001354342|NP_001162577|NP_001162578	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858982	6500	28952	112391	118780	-	JM1	SKP1	CCDC22	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	CXorf37	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63208	-	NP_733779|NP_008861	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858983	28952	8454	118780	114032	JM1	-	CCDC22	CUL1	CXorf37	-	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q13616	B3KTW0	NP_001357589|NP_003583|NP_001357591|NP_001357590|NP_001357593|NP_001357592	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858984	28952	8453	118780	114031	JM1	RP11-297A16.3	CCDC22	CUL2	CXorf37	-	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q13617	-	NP_001311304|NP_001311305|NP_001185708|NP_001185707|NP_001185706|NP_003582	-	-	-	-	-	-	Homo sapiens	Homo sapiens
858985	28952	8452	118780	114030	JM1	-	CCDC22	CUL3	CXorf37	CUL-3|PHA2E	Affinity Capture-Western	physical	Starokadomskyy P (2013)	PUBMED:23563313	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	-	-	-	-	-	-	Homo sapiens	Homo sapiens
892530	28952	26258	118780	117644	JM1	-	CCDC22	BLOC1S6	CXorf37	BLOS6|HPS9|PA|PALLID|PLDN	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q9UL45	B3KY40	NP_036520	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1036609	71	28952	106586	118780	-	JM1	ACTG1	CCDC22	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	CXorf37	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	P63261	-	NP_001186883|NP_001605	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1047058	28952	83878	118780	123791	JM1	-	CCDC22	USHBP1	CXorf37	AIEBP|MCC2	Two-hybrid	physical	Rolland T (2014)	PUBMED:25416956	9606	9606	High Throughput	-	-	-	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q8N6Y0	G8JLM4|A0A024R7H3|B4DUE8	NP_114147|NP_001284632	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1174688	28952	54520	118780	120013	JM1	-	CCDC22	CCDC93	CXorf37	-	Affinity Capture-Western	physical	Phillips-Krawczak CA (2015)	PUBMED:25355947	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q567U6	-	NP_061917	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1174689	28952	57020	118780	121329	JM1	101F10.2	CCDC22	C16orf62	CXorf37	-	Affinity Capture-Western	physical	Phillips-Krawczak CA (2015)	PUBMED:25355947	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q7Z3J2	E7EWW0|B3KT69|F5H7K1	NP_001287672|NP_064710	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1174690	54520	28952	120013	118780	-	JM1	CCDC93	CCDC22	-	CXorf37	Affinity Capture-Western	physical	Phillips-Krawczak CA (2015)	PUBMED:25355947	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q567U6	-	NP_061917	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1174692	57020	28952	121329	118780	101F10.2	JM1	C16orf62	CCDC22	-	CXorf37	Affinity Capture-Western	physical	Phillips-Krawczak CA (2015)	PUBMED:25355947	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q7Z3J2	E7EWW0|B3KT69|F5H7K1	NP_001287672|NP_064710	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1184867	5713	28952	111685	118780	-	JM1	PSMD7	CCDC22	MOV34|P40|Rpn8|S12	CXorf37	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.999564847	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999564847, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	P51665	-	NP_002802	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1186169	9901	28952	115230	118780	-	JM1	SRGAP3	CCDC22	ARHGAP14|MEGAP|SRGAP2|WRP	CXorf37	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.792153279	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.792153279, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	O43295	-	NP_001028289|NP_055665	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1188794	84062	28952	123857	118780	RP1-147M19.1	JM1	DTNBP1	CCDC22	BLOC1S8|DBND|HPS7|My031|SDY	CXorf37	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.952514433	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.952514433, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q96EV8	A0A087WYP9|A6NFV8	NP_898861|NP_001258598|NP_001258597|NP_001258596|NP_115498	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1191536	55081	28952	120396	118780	-	JM1	IFT57	CCDC22	ESRRBL1|HIPPI|MHS4R2	CXorf37	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.877995814	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.877995814, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9NWB7	-	NP_060480	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1193355	115948	28952	125463	118780	-	JM1	CCDC151	CCDC22	CILD30	CXorf37	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.998585581	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.998585581, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	A5D8V7	B3KPH7|K7EN59	NP_659482|NP_001289383|NP_001289382	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1195135	54785	28952	120149	118780	-	JM1	C17orf59	CCDC22	PRO2472	CXorf37	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.902797815	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.902797815, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q96GS4	-	NP_060092	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1197516	23412	28952	116984	118780	RP11-573G6.3	JM1	COMMD3	CCDC22	BUP|C10orf8	CXorf37	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.999999552	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999999552, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9UBI1	-	NP_036203	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1197531	54939	28952	120279	118780	-	JM1	COMMD4	CCDC22	-	CXorf37	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.999999399	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999999399, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9H0A8	H3BQF2	NP_060298|NP_001308773|NP_001308775|NP_001308774|NP_001308777|NP_001308776|NP_001271308|NP_001271307|NP_001271306	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1258763	28952	392	118780	106885	JM1	-	CCDC22	ARHGAP1	CXorf37	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.070865974	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q07960	-	NP_004299	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259461	28952	51637	118780	119650	JM1	CGI-99	CCDC22	C14orf166	CXorf37	CGI99|CLE|CLE7|LCRP369|RLLM1	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.086768865	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q9Y224	Q549M8	NP_057123	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259679	54520	28952	120013	118780	-	JM1	CCDC93	CCDC22	-	CXorf37	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.35544218	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q567U6	-	NP_061917	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259680	51397	28952	119521	118780	HSPC305	JM1	COMMD10	CCDC22	PTD002	CXorf37	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.380412016	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q9Y6G5	-	NP_057228	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259681	23412	28952	116984	118780	RP11-573G6.3	JM1	COMMD3	CCDC22	BUP|C10orf8	CXorf37	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.1661896	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q9UBI1	-	NP_036203	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259682	10762	28952	115982	118780	CTA-268H5.7	JM1	NUP50	CCDC22	NPAP60|NPAP60L	CXorf37	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.13077668	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q9UKX7	A0A024R4X7	NP_009103|NP_705931	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259683	5214	28952	111235	118780	RP11-298E9.2	JM1	PFKP	CCDC22	ATP-PFK|PFK-C|PFK-P|PFKF	CXorf37	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.08853156	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q01813	-	NP_002618|NP_001310002|NP_001310003|NP_001310000|NP_001310001|NP_001332873|NP_001309996|NP_001309997|NP_001229268|NP_001309998|NP_001309999	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259684	51493	28952	119569	118780	HSPC117	JM1	RTCB	CCDC22	C22orf28|DJ149A16.6|FAAP	CXorf37	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.079786383	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q9Y3I0	-	NP_055121	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259685	51100	28952	119289	118780	CGI-61	JM1	SH3GLB1	CCDC22	Bif-1|PPP1R70|dJ612B15.2	CXorf37	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.200445617	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q9Y371	A0A087WW40	NP_057093|NP_001193580|NP_001193581|NP_001193582	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1259686	9097	28952	114551	118780	-	JM1	USP14	CCDC22	TGT	CXorf37	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.081513598	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	P54578	-	NP_001032411|NP_005142	O60826	A0A024QZ03	NP_054727	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1260212	28952	51122	118780	119309	JM1	HSPC042	CCDC22	COMMD2	CXorf37	-	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.252643541	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q86X83	-	NP_057178	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1261187	28952	10311	118780	115596	JM1	-	CCDC22	DSCR3	CXorf37	DCRA|DSCRA	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.076630304	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O60826	A0A024QZ03	NP_054727	O14972	A8MY26	NP_001317951|NP_001317950|NP_001317947|NP_006043	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1265284	28952	10397	118780	115669	JM1	-	CCDC22	NDRG1	CXorf37	CAP43|CMT4D|DRG-1|DRG1|GC4|HMSNL|NDR1|NMSL|PROXY1|RIT42|RTP|TARG1|TDD5	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.095419661	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O60826	A0A024QZ03	NP_054727	Q92597	Q8N959	NP_001128714|NP_001361774|NP_001361775|NP_001361776|NP_001245362|NP_001245361|NP_001361773|NP_006087	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1266456	28952	5198	118780	111221	JM1	-	CCDC22	PFAS	CXorf37	FGAMS|FGAR-AT|FGARAT|PURL	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.090460303	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O60826	A0A024QZ03	NP_054727	O15067	A8K9T9|Q6P4B4	NP_036525	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1268313	28952	8624	118780	114179	JM1	-	CCDC22	PSMG1	CXorf37	C21LRP|DSCR2|LRPC21|PAC-1|PAC1	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.086232809	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O60826	A0A024QZ03	NP_054727	O95456	-	NP_001248753|NP_001307724|NP_003711|NP_982257	-	-	-	-	-	-	Homo sapiens	Homo sapiens
